time,X,Y,theta_rad,V,steerFL_deg,steerFR_deg,motorFL,motorFR,motorRL,motorRR,brakeFL,brakeFR,brakeRL,brakeRR,plannerNodes,hasSolution,execCompleted,lateralError,headingError
0.800,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,316,0,0,0.000,0.000
0.820,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,333,0,0,0.000,0.000
0.840,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,352,0,0,0.000,0.000
0.860,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,374,0,0,0.000,0.000
0.880,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,374,0,0,0.000,0.000
0.900,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,390,0,0,0.000,0.000
0.920,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,408,0,0,0.000,0.000
0.940,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,408,0,0,0.000,0.000
0.960,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,429,0,0,0.000,0.000
0.980,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,448,0,0,0.000,0.000
1.000,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,448,0,0,0.000,0.000
1.020,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,448,0,0,0.000,0.000
1.040,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,469,0,0,0.000,0.000
1.060,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,469,0,0,0.000,0.000
1.080,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,0,0,0.000,0.000
1.100,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,0,0,0.000,0.000
1.120,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,504,0,0,0.000,0.000
1.140,5.206,-0.117,0.8029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,504,0,0,0.000,0.000
